Value,ar,ca,cs,da,de,el,en,en_AU,en_GB,es,es_419,fi,fr,fr_CA,he,hi,hr,hu,id,it,ja,ko,ms,nl,no,pl,pt,pt_PT,ro,ru,sk,sv,th,tr,uk,vi,zh_CN,zh_HK,zh_TW
61578,قلبان كارتونيان,Dos cors de dibuix,Dvě komiksová srdce,To tegneseriehjerter,Zwei Cartoon-Herzen,Δύο καρδούλες,Two Cartoon Hearts,Two Cartoon Hearts,Two Cartoon Hearts,Dos corazones de dibujo,Dos corazones de caricatura,Kaksi sarjakuvasydäntä,Deux cœurs de bande dessinée,Deux cœurs dessinés,שני לבבות מצוירים,दो दिल के कार्टून,Dva animirana srca,Két rajzolt szív,Dua Hati Kartun,Due cuori cartone animato,2つのアニメのハート,두 개의 만화 하트,Dua Hati Kartun,Twee cartoon­hartjes,To tegneseriehjerter,Dwa narysowane serca,Dois Corações de Desenho Animado,Dois corações desenhados,Două inimi de desen animat,Два мультяшных сердечка,Dve komiksové srdcia,Två tecknade hjärtan,หัวใจการ์ตูนสองดวง,İki Kalp Çizimi,Два намальованих серця,Hai trái tim hoạt hình,两颗卡通心,兩個卡通愛心,兩個卡通愛心
59841,نجمة,Estrella,Hvězda,Stjerne,Stern,Αστέρι,Star,Star,Star,Estrella,Estrella,Tähti,Étoile,Étoile,כוכב,तारा,Zvijezda,Csillag,Bintang,Stella,星,별,Bintang,Ster,Stjerne,Gwiazdka,Estrela,Estrela,Stea,Звезда,Hviezda,Stjärna,ดาว,Yıldız,Зірка,Sao,星星形状,星號,星號
61579,نجمة بنصف تعبئة,Estrella mig plena,Hvězda vyplněná do půlky,Halvt fyldt stjerne,Halb gefüllter Stern,Μισογεμάτο αστέρι,Star Half Filled,Star Half Filled,Star Half Filled,Estrella a medias,Estrella llena a la mitad,Puoliksi täytetty tähti,Étoile remplie à moitié,Étoile à moitié remplie,כוכב חצי מלא,आधा भरा सितारा,Dopola ispunjena zvijezda,Félig kitöltött csillag,Bintang Setengah Terisi,Stella semipiena,半分が塗りつぶされた星,절반이 채워진 별,Bintang Diisi Separuh,Halfgevulde ster,Halvfylt stjerne,Wypełniona w połowie gwiazdka,Estrela Meio Preenchida,Estrela meia preenchida,Stea pe jumătate plină,Наполовину заполненная звезда,Hviezdička vyplnená do polovice,Halvt ifylld stjärna,ดาวที่เติมสีครึ่งหนึ่ง,Yarısı Dolu Yıldız,Наполовину заповнена зірка,Ngôi sao tô một nửa,半填充的星星,半填充的星星,半滿的星星
61581,أضواء متألقة,Espurnes,Třpyt,Gnister,Funken,Λάμψεις,Sparkles,Sparkles,Sparkles,Destellos,Centellas,Säihkeet,Étincelles,Étincelles,ניצוצות,जगमगाहट,Iskre,Szikrák,Kilau,Scintille,ピカピカ,광채,Kilauan,Fonkelingen,Gnister,Iskry,Brilhos,Centelhas,Scântei,Блестки,Iskry,Glitter,ประกาย,Pırıltılar,Блискітки,Lấp lánh,火花,火花,火花
59763,لمبة إضاءة,Bombeta,Žárovka,Elpære,Glühbirne,Λάμπα,Light Bulb,Light Globe,Light Bulb,Bombilla,Foco,Hehkulamppu,Ampoule,Ampoule,נורת תאורה,लाइट बल्ब,Žarulja,Villanykörte,Bola Lampu,Lampadina,電球,전구,Mentol,Gloeilamp,Lyspære,Żarówka,Lâmpada,Lâmpada,Bec,Лампочка,Žiarovka,Glödlampa,หลอดไฟ,Ampul,Лампочка,Bóng đèn,灯泡,燈泡,電燈泡
59764,صاعقة برق,Llamp,Blesk,Lyn,Blitz,Αστραπή,Lightning Bolt,Lightning Bolt,Lightning Bolt,Rayo,Relámpago,Salama,Éclair,Éclair,ברק,बिजली कड़कने का चिह्न,Munja,Villámlás,Petir,Fulmine,稲妻,번개,Panahan Kilat,Bliksemschicht,Lyn,Błyskawica,Relâmpago,Relâmpago,Fulger,Разряд молнии,Blesk,Blixt,สายฟ้า,Şimşek İşareti,Блискавка,Tia chớp,闪电,閃電,閃電
59736,علم,Senyal,Vlajka,Flag,Flagge,Σημαία,Flag,Flag,Flag,Bandera,Bandera,Lippu,Drapeau,Drapeau,דגל,फ़्लैग,Zastava,Zászló,Bendera,Bandiera,旗,깃발,Bendera,Vlag,Flagg,Flaga,Bandeira,Bandeira,Steag,Флажок,Vlajka,Flagga,ธง,Bayrak,Мітка,Gắn cờ,旗子,旗子,旗子
59848,علامة,Etiqueta,Značka,Mærke,Tag,Ετικέτα,Tag,Tag,Tag,Etiqueta,Etiqueta,Tunniste,Étiquette,Étiquette,תג,टैग,Etiketa,Címke,Label,Etichetta,タグ,태그,Tag,Tag,Etikett,Tag,Etiqueta,Etiqueta,Etichetă,Тег,Značka,Tagg,แท็ก,Etiket,Тег,Thẻ,一个标签,標記,標籤
59760,مفتاح,Clau,Klíč,Nøgle,Schlüssel,Κλειδί,Key,Key,Key,Clave,Llave,Avain,Clé,Clé,מפתח,की,Ključ,Kulcs,Kunci,Chiave,キー,키,Kunci,Sleutel,Nøkkel,Klucz,Chave,Chave,Cheie,Ключ,Kľúč,Nyckel,ปุ่ม,Anahtar,Ключ,Phím,钥匙,鎖匙,鑰匙
59757,ساعة رملية,Rellotge de sorra,Přesýpací hodiny,Timeglas,Sanduhr,Κλεψύδρα,Hourglass,Hourglass,Hourglass,Reloj de arena,Reloj de arena,Tiimalasi,Sablier,Sablier,שעון חול,रेत घड़ी,Pješčani sat,Homokóra,Jam Pasir,Clessidra,砂時計,모래시계,Jam Pasir,Zandloper,Timeglass,Klepsydra,Ampulheta,Ampulheta,Clepsidră,Песочные часы,Presýpacie hodiny,Timglas,นาฬิกาทราย,Kum Saati,Пісковий годинник,Đồng hồ cát,沙漏,砂漏,砂漏
59770,قفل,Cadenat,Zámek,Lås,Sperren,Κλείδωμα,Lock,Lock,Lock,Bloquear,Candado,Lukko,Verrouiller,Verrouiller,נעילה,लॉक करें,Lokot,Zárt lakat,Kunci,Lucchetto chiuso,ロック,자물쇠,Kunci,Vergrendel,Lås,Kłódka,Cadeado,Cadeado,Lacăt,Замок,Zámok,Lås,ล็อค,Kilitle,Замок,Khóa,锁,鎖定,鎖定
59862,فتح القفل,Cadenat obert,Odemknutí,Lås op,Entsperren,Ξεκλείδωμα,Unlock,Unlock,Unlock,Abrir candado,Desbloquear,Avaa,Déverrouiller,Déverrouiller,בטל נעילה,अनलॉक करें,Otključaj,Nyitott lakat,Buka,Lucchetto aperto,ロック解除,잠금 해제,Buka Kunci,Ontgrendel,Lås opp,Odblokuj,Desbloquear,Desproteger,Debloca,Разблокировать,Odomknúť,Lås upp,ปลดล็อค,Kilidi Aç,Відімкнений замок,Mở khóa,解锁,解鎖,解鎖
59489,بطارية,Bateria,Baterie,Batteri,Batterie,Μπαταρία,Battery,Battery,Battery,Batería,Batería,Akku,Batterie,Batterie,סוללה,बैटरी,Baterija,Akkumulátor,Baterai,Batteria,バッテリー,배터리,Bateri,Batterij,Batteri,Bateria,Bateria,Bateria,Baterie,Аккумулятор,Batéria,Batteri,แบตเตอรี่,Pil,Акумулятор,Pin,电池,電池,電池
59511,عصا سحرية مع نجوم,Vareta màgica amb estrelles,Kouzelná hůlka s hvězdami,Tryllestav med stjerner,Zauberstab mit Sternen,Μαγικό ραβδί με αστέρια,Magic Wand With Stars,Magic Wand With Stars,Magic Wand With Stars,Varita mágica con estrellas,Varita mágica con estrellas,Taikasauva ja tähdet,Baguette magique avec étoiles,Baguette magique entourée d’étoiles,מטה קסמים עם כוכבים,सितारों के साथ जादूई छड़ी,Čarobni štapić sa zvijezdama,Varázspálca csillagokkal,Tongkat Sihir Dengan Bintang,Bacchetta magica con stelle,輝く魔法の杖,별이 있는 마술 지팡이,Tongkat Sakti dengan Bintang,Toverstaf met sterren,Tryllestav med stjerner,Różdżka z gwiazdkami,Varinha Mágica com Estrelas,Varinha mágica com estrelas,Baghetă magică cu steluțe,Волшебная палочка со звездами,Kúzelná palička s hviezdičkami,Trollstav med stjärnor,ไม้กายสิทธิ์ที่มีดาว,Yıldızlı Sihirli Değnek,Чарівна паличка із зірками,Đũa thần với các ngôi sao,带星星的魔法棒,帶星星的魔法棒,帶有星星的魔法棒
59771,عصا سحرية,Vareta màgica,Kouzelná hůlka,Tryllestav,Zauberstab,Μαγικό ραβδί,Magic Wand,Magic Wand,Magic Wand,Varita mágica,Varita mágica,Taikasauva,Baguette magique,Baguette magique,מטה קסמים,जादूई छड़ी,Čarobni štapić,Varázspálca,Tongkat Sihir,Bacchetta magica,魔法の杖,마술 지팡이,Tongkat Pintar,Toverstaf,Tryllestav,Różdżka,Varinha Mágica,Varinha mágica,Baghetă magică,Волшебная палочка,Kúzelná palička,Trollstav,ไม้กายสิทธิ์,Sihirli Değnek,Чарівна паличка,Đũa thần,魔法棒,魔術棒,魔法棒
59793,فرشاة رسام,Brotxa,Štětec,Pensel,Pinsel,Πινέλο,Paintbrush,Paintbrush,Paintbrush,Brocha,Pincel,Sivellin,Pinceau,Pinceau,מברשת צבע,पेंटब्रश,Kist,Festőecset,Kuas Cat,Pennello,絵筆,페인트 붓,Berus Cat,Verfkwast,Malerpensel,Pędzel,Pincel,Pincel,Pensulă,Кисть,Štetec,Pensel,พู่กัน,Boya Fırçası,Пензель,Cọ vẽ tranh,画笔,畫筆,畫筆
59798,قلم,Llapis,Tužka,Blyant,Stift,Μολύβι,Pencil,Pencil,Pencil,Lápiz,Lápiz,Lyijykynä,Crayon,Crayon,עיפרון,पेंसिल,Olovka,Ceruza,Pensil,Matita,鉛筆,연필,Pensel,Potlood,Blyant,Ołówek,Lápis,Lápis,Creion,Карандаш,Ceruzka,Blyertspenna,ดินสอ,Kalem,Олівець,Bút chì,铅笔,鉛筆,鉛筆
59794,مشبك ورق,Clip,Sponka na papír,Papirklips,Büroklammer,Συνδετήρας,Paper Clip,Paper Clip,Paper Clip,Clip,Clip de papel,Paperiliitin,Trombone,Trombone,מהדק נייר,पेपर क्लिप,Spajalica za papir,Gemkapocs,Klip Kertas,Graffetta,ペーパークリップ,종이 클립,Klip Kertas,Paperclip,Binders,Spinacz do papieru,Clipe de Papel,Clip de papel,Agrafă de hârtie,Скрепка,Spinka na papier,Gem,คลิปหนีบกระดาษ,Ataş,Скріпка,Kẹp giấy,回形针,萬字夾,迴紋針
59824,مقص,Tisores,Nůžky,Saks,Schere,Ψαλίδι,Scissors,Scissors,Scissors,Tijeras,Tijeras,Sakset,Ciseaux,Ciseaux,מספריים,कैंची,Škare,Olló,Gunting,Forbici,はさみ,가위,Gunting,Schaar,Saks,Nożyczki,Tesoura,Tesoura,Foarfecă,Ножницы,Nožnice,Sax,กรรไกร,Makas,Ножиці,Cái kéo,剪刀,剪刀,剪刀
59772,عدسة مكبرة,Lupa,Lupa,Forstørrelsesglas,Lupe,Μεγεθυντικός φακός,Magnifying Glass,Magnifying Glass,Magnifying Glass,Lupa,Lupa,Suurennuslasi,Loupe,Loupe,זכוכית מגדלת,आवर्धक काँच,Povećalo,Nagyítólencse,Kaca Pembesar,Lente d'ingrandimento,虫眼鏡,돋보기,Kaca Pembesar,Vergrootglas,Forstørrelsesglass,Lupa,Lupa,Lupa,Lupă,Увеличительное стекло,Zväčšovacie sklo,Förstoringsglas,แว่นขยาย,Büyüteç,Збільшувальне скло,Kính phóng đại,放大镜,放大鏡,放大鏡
59685,حلقتا سلسلة,Enllaç de cadena,Článek řetězu,Kædeled,Kettenglied,Κρίκος αλυσίδας,Chain Link,Chain Link,Chain Link,Símbolo de enlace,Enlace de cadena,Ketju,Maillon de chaîne,Chaînon,קישור שרשרת,चेन लिंक,Spojene karike,Láncszem,Rantai,Catena,鎖の一部,체인 링크,Rantai Berangkai,Ketting,Kjetting,Ogniwo łańcucha,Elo de Corrente,Elo,Verigă de lanț,Звенья цепи,Článok reťaze,Kedja,ลวดตาข่ายถัก,Bağlantı İşareti,Ланка ланцюга,Mắt xích,链条,鏈結,鏈結
59716,قطارة ألوان,Comptagotes de color,Kapátko,Farvepipette,Farbpipette,Σταγονόμετρο χρωμάτων,Color Dropper,Colour Dropper,Colour Dropper,Cuentagotas,Selector de color,Väripipetti,Pipette à couleurs,Compte-gouttes,פיפטה עם צבע,रंगीन ड्रॉपर,Kliznik s bojama,Színcsepegtető,Penitis Warna,Contagocce,カラースポイト,색상 스포이드,Penitis Warna,Kleurpipet,Fargepipette,Pipeta,Conta-gotas,Conta‑gotas colorido,Pipetă culoare,Пипетка,Kvapkadlo,Färgpipett,หลอดหยดสี,Renk Damlalığı,Піпетка,Dụng cụ nhỏ màu,颜色滴管,顏色滴管,顏色滴管
59748,مطرقة,Martell,Kladivo,Hammer,Hammer,Σφυρί,Hammer,Hammer,Hammer,Martillo,Martillo,Vasara,Marteau,Marteau,פטיש,हथौड़ा,Čekić,Kalapács,Palu,Martello,ハンマー,망치,Penukul,Hamer,Hammer,Młotek,Martelo,Martelo,Ciocan,Молоток,Kladivo,Hammare,ค้อน,Çekiç,Молоток,Cái búa,锤子,鐵鎚,鐵鎚
59870,مفتاح ربط,Clau anglesa,Maticový klíč,Svensknøgle,Schraubenschlüssel,Γαλλικό κλειδί,Wrench,Spanner,Spanner,Llave inglesa,Llave inglesa,Jakoavain,Clé anglaise,Clé anglaise,מפתח ברגים,पाना,Viličasto-okasti ključ,Csavarkulcs,Kunci Inggris,Chiave inglese,レンチ,렌치,Perengkuh,Moersleutel,Skiftenøkkel,Klucz płaski,Chave de Boca,Chave de bocas,Cheie fixă,Гаечный ключ,Maticový kľúč,Blocknyckel,ประแจ,Somun Anahtarı,Гайковий ключ,Cờ lê,扳手,扳手,扳手
59743,تروس,Engranatge,Ozubená kola,Tandhjul,Zahnräder,Γρανάζια,Gears,Gears,Gears,Engranaje,Engranes,Hammasrattaat,Engrenages,Engrenages,גלגלי שיניים,गियर,Zupčanici,Fogaskerekek,Peranti,Ingranaggi,歯車,톱니바퀴,Gear,Tandwielen,Drivhjul,Koła zębate,Engrenagens,Engrenagens,Roți dințate,Шестеренки,Ozubené kolesá,Växlar,เฟือง,Dişliler,Шестерні,Bánh răng,齿轮,齒輪,齒輪
59825,مفك براغي,Tornavís,Šroubovák,Skruetrækker,Schraubenzieher,Κατσαβίδι,Screwdriver,Screwdriver,Screwdriver,Destornillador,Desarmador,Ruuvitaltta,Tournevis,Tournevis,מברג,स्क्रूड्राइवर,Odvijač,Csavarhúzó,Obeng,Cacciavite,スクリュードライバー,스크루드라이버,Pemutar Skru,Schroevendraaier,Skrutrekker,Śrubokręt,Chave de Fenda,Chave de fendas,Șurubelniță,Отвертка,Skrutkovač,Skruvmejsel,ไขควง,Tornavida,Викрутка,Tua vít,螺丝刀,螺絲批,螺絲起子
59859,سلة المهملات,Paperera,Koš,Papirkurv,Papierkorb,Κάδος,Trash,Bin,Bin,Cubo de basura,Basurero,Roskakori,Poubelle,Poubelle,פח,रद्दी,Smeće,Kuka,Tong Sampah,Cestino,ゴミ箱,휴지통,Sampah,Vuilnisbak,Papirkurv,Kosz,Lixo,Lixo,Coș,Мусорный бак,Kôš,Papperskorg,ถังขยะ,Çöp Sepeti,Смітник,Xóa,废纸篓,垃圾桶,垃圾桶
59866,قطرة ماء,Gota d’aigua,Kapka,Vanddråbe,Wassertropfen,Σταγόνα νερού,Water Drop,Water Drop,Water Drop,Gota de agua,Gota de agua,Vesipisara,Goutte d’eau,Goutte d’eau,טיפת מים,पानी की बूँद,Kap vode,Vízcsepp,Tetesan Air,Goccia d'acqua,水滴,물방울,Titisan Air,Waterdruppel,Vanndråpe,Kropla wody,Gota de Água,Gota de água,Picătură de apă,Капля воды,Kvapka vody,Vattendroppe,หยดน้ำ,Su Damlası,Крапля води,Giọt nước,水滴,水滴,水滴
59789,كوب بأذن,Tassa,Hrnek,Krus,Becher,Κούπα,Mug,Mug,Mug,Taza,Tarro,Muki,Mug,Tasse,ספל,मग,Šalica,Bögre,Mug,Tazza,マグ,머그잔,Kole,Mok,Krus,Filiżanka,Caneca,Caneca,Cană,Кружка,Hrnček,Mugg,ถ้วยน้ำ,Kupa,Кухоль,Vại,马克杯,馬克杯,馬克杯
59827,قميص,Samarreta,Tričko,Bluse,Hemd,Μπλούζα,Shirt,Shirt,Shirt,Camiseta,Camisa,Paita,Chemise,T-shirt,חולצה,शर्ट,Majica,Ing,Kaus,Maglietta,シャツ,셔츠,Kemeja,T-shirt,Skjorte,Koszula,Camisa,T‑shirt,Tricou,Футболка,Tričko,Skjorta,เสื้อเชิ้ต,Tişört,Сорочка,Áo sơ mi,衣服,T恤,襯衫
59815,أقراص دواء,Píndoles,Pilulky,Piller,Pillen,Χάπια,Pills,Pills,Pills,Píldoras,Píldoras,Pillerit,Comprimés,Pilules,גלולות,गोलियाँ,Pilule,Pirulák,Pil,Pillole,複数の薬,알약,Pil-pil,Pillen,Piller,Tabletki,Pílulas,Comprimidos,Pastile,Пилюли,Tabletky,Piller,ยาเม็ด,Haplar,Пігулки,Viên thuốc,两个药丸,藥丸,藥丸
59660,ضمادة,Tireta,Náplast,Forbinding,Pflaster,Επίδεσμος,Bandage,Bandaid,Plaster,Tirita,Curita,Laastari,Bandage,Bandage,פלסטר,पट्टी,Flaster,Sebtapasz,Perban,Cerotto,絆創膏,반창고,Pembalut,Pleister,Bandasje,Plaster,Bandagem,Penso,Pansament,Пластырь,Náplasť,Bandage,ผ้าพันแผล,Yara Bandı,Бандаж,Băng cá nhân,创可贴,膠布,OK繃
59843,سماعة طبيب,Estetoscopi,Stetoskop,Stetoskop,Stethoskop,Στηθοσκόπιο,Stethoscope,Stethoscope,Stethoscope,Estetoscopio,Estetoscopio,Stetoskooppi,Stéthoscope,Stéthoscope,מסכת,आला,Stetoskop,Sztetoszkóp,Stetoskop,Stetoscopio,聴診器,청진기,Stetoskop,Stethoscoop,Stetoskop,Stetoskop,Estetoscópio,Estetoscópio,Stetoscop,Стетоскоп,Stetoskop,Stetoskop,เครื่องฟังตรวจ,Stetoskop,Стетоскоп,Ống nghe,听诊器,聽筒,聽筒
61551,كمامة,Mascareta,Rouška,Mundbind,Maske,Μάσκα προσώπου,Face Mask,Face Mask,Face Mask,Mascarilla,Cubrebocas,Kasvomaski,Masque de protection,Masque,מסיכת פנים,चेहरे का मास्क,Maska za lice,Arcmaszk,Masker Wajah,Mascherina,マスク,마스크,Pelitup Muka,Mond­kapje,Munnbind,Maseczka,Máscara Facial,Máscara,Mască facială,Маска,S rúškom,Munskydd,หน้ากากอนามัย,Yüz Maskesi,Медична маска,Khẩu trang,口罩,口罩,口罩
59657,ذرة,Àtom,Atom,Atom,Atom,Άτομο,Atom,Atom,Atom,Átomo,Átomo,Atomi,Atome,Atome,אטום,ऐटम,Atom,Atom,Atom,Atomo,原子,원자,Atom,Atoom,Atom,Atom,Átomo,Átomo,Atom,Атом,Atóm,Atom,อะตอม,Atom,Атом,Nguyên tử,原子,原子,原子
59684,قطة,Gat,Kočka,Kat,Katze,Γάτα,Cat,Cat,Cat,Gato,Gato,Kissa,Chat,Chat,חתול,बिल्ली,Mačka,Macska,Kucing,Gatto,ネコ,고양이,Kucing,Kat,Katt,Kot,Gato,Gato,Pisică,Кошка,Mačka,Katt,แมว,Kedi,Кіт,Mèo,猫,貓,貓
59728,كلب,Gos,Pes,Hund,Hund,Σκύλος,Dog,Dog,Dog,Perro,Perro,Koira,Chien,Chien,כלב,कुत्ता,Pas,Kutya,Anjing,Cane,犬,개,Anjing,Hond,Hund,Pies,Cachorro,Cão,Câine,Собака,Pes,Hund,สุนัข,Köpek,Собака,Chó,狗,狗,狗
61554,دب,Os,Medvěd,Bjørn,Bär,Αρκούδα,Bear,Bear,Bear,Oso,Oso,Karhu,Ours,Ours,דוב,भालू,Medvjed,Medve,Beruang,Orso,クマ,곰,Beruang,Beer,Bjørn,Niedźwiedź,Urso,Urso,Urs,Медведь,Medveď,Björn,หมี,Ayı,Ведмідь,Gấu,熊,熊,熊
61555,نمر,Tigre,Tygr,Tiger,Tiger,Τίγρης,Tiger,Tiger,Tiger,Tigre,Tigre,Tiikeri,Tigre,Tigre,טיגריס,बाघ,Tigar,Tigris,Macan,Tigre,トラ,호랑이,Harimau,Tijger,Tiger,Tygrys,Tigre,Tigre,Tigru,Тигр,Tiger,Tiger,เสือ,Kaplan,Тигр,Hổ,老虎,老虎,老虎
61556,قرد,Mico,Opice,Abe,Affe,Μαϊμού,Monkey,Monkey,Monkey,Mono,Mono,Apina,Singe,Singe,קוף,बंदर,Majmun,Majom,Monyet,Scimmia,サル,원숭이,Monyet,Aap,Apekatt,Małpa,Macaco,Macaco,Maimuță,Обезьянка,Opica,Apa,ลิง,Maymun,Мавпа,Khỉ,猴子,馬騮,猴子
61557,كبش,Marrà,Beran,Vædder,Schafbock,Κριάρι,Ram,Ram,Ram,Carnero,Carnero,Pässi,Bélier,Bélier,אייל,भेड़ा,Jarac,Kos,Kambing Jantan,Ariete,ヒツジ,뿔난 양,Biri-biri Jantan,Ram,Bukk,Baran,Carneiro,Carneiro,Berbec,Баран,Baran,Bock,แกะตัวผู้,Koç,Баран,Cừu đực,公羊,公羊,公羊
61558,أرنب,Conill,Králík,Kanin,Kaninchen,Κουνέλι,Rabbit,Rabbit,Rabbit,Conejo,Conejo,Jänis,Lapin,Lapin,ארנב,ख़रगोश,Zec,Nyúl,Kelinci,Coniglio,ウサギ,토끼,Arnab,Konijn,Kanin,Królik,Coelho,Coelho,Iepure,Кролик,Králik,Kanin,กระต่าย,Tavşan,Кролик,Thỏ,兔子,兔仔,兔子
61559,ثعبان,Serp,Had,Slange,Schlange,Φίδι,Snake,Snake,Snake,Serpiente,Serpiente,Käärme,Serpent,Serpent,נחש,साँप,Zmija,Kígyó,Ular,Serpente,ヘビ,뱀,Ular,Slang,Slange,Wąż,Cobra,Cobra,Șarpe,Змея,Zmija,Orm,งู,Yılan,Змія,Rắn,蛇,蛇,蛇
61560,دجاجة,Gallina,Kuře,Kylling,Huhn,Κοτόπουλο,Chicken,Chicken,Chicken,Gallina,Gallina,Kana,Poule,Poulet,תרנגולת,मुर्ग़ा,Kokoš,Csirke,Ayam,Pollo,ニワトリ,닭,Ayam,Kip,Høne,Kura,Galinha,Galinha,Găină,Курица,Kurča,Kyckling,ไก่,Tavuk,Курча,Gà,鸡,雞,雞
61561,خنزير,Porc,Prase,Gris,Schwein,Χοίρος,Pig,Pig,Pig,Cerdo,Cerdo,Sika,Cochon,Cochon,חזיר,सूअर,Svinja,Malac,Babi,Maiale,ブタ,돼지,Khinzir,Varken,Gris,Świnia,Porco,Porco,Porc,Свинья,Prasa,Gris,หมู,Domuz,Свиня,Lợn,猪,豬,豬
61562,فأر,Ratolí,Myš,Mus,Maus,Ποντίκι,Mouse,Mouse,Mouse,Ratón,Ratón,Hiiri,Souris,Souris,עכבר,चूहा,Miš,Egér,Tikus,Topo,ネズミ,쥐,Tikus,Muis,Mus,Mysz,Rato,Rato,Șoarece,Мышь,Myš,Mus,หนู,Fare,Миша,Chuột,老鼠,老鼠,老鼠
61563,بقرة,Vaca,Kráva,Ko,Kuh,Αγελάδα,Cow,Cow,Cow,Vaca,Vaca,Lehmä,Vache,Vache,פרה,गाय,Krava,Tehén,Sapi,Mucca,ウシ,소,Lembu,Koe,Ku,Krowa,Vaca,Vaca,Vacă,Корова,Krava,Ko,วัว,İnek,Корова,Bò,奶牛,牛,母牛
61564,تنين,Drac,Drak,Drage,Drache,Δράκος,Dragon,Dragon,Dragon,Dragón,Dragón,Lohikäärme,Dragon,Dragon,דרקון,ड्रैगन,Zmaj,Sárkány,Naga,Drago,ドラゴン,용,Naga,Draak,Drage,Smok,Dragão,Dragão,Dragon,Дракон,Drak,Drake,มังกร,Ejder,Дракон,Rồng,龙,龍,龍
59651,كائن فضائي,Extraterrestre,Mimozemšťan,Rumvæsen,Alien,Εξωγήινος,Alien,Alien,Alien,Extraterrestre,Extraterrestre,Avaruusolento,Extraterrestre,Extraterrestre,חייזר,एलियन,Vanzemaljac,Földönkívüli,Alien,Alieno,エイリアン,외계인,Makhluk Asing,Buitenaards wezen,Romvesen,Kosmita,Extraterrestre,Extraterrestre,Extraterestru,Пришелец,Mimozemšťan,Utomjording,เอเลี่ยน,Uzaylı,Прибулець,Người ngoài hành tinh,外星人,外星人,外星人
61565,وحش فضائي,Monstre alienígena,Vesmírný netvor,Fremmed uhyre,Außerirdisches Monster,Εξωγήινο τέρας,Alien Monster,Alien Monster,Alien Monster,Monstruo extraterrestre,Invasor espacial,Avaruusolio,Monstre extraterrestre,Monstre extraterrestre,מפלצת מהחלל החיצון,एलियन मॉन्सटर,Izvanzemaljsko čudovište,Földönkívüli szörny,Monster Alien,Mostro alieno,モンスター,외계 괴물,Raksasa Makhluk Asing,Buitenaards monster,Romvesen,Potwór z kosmosu,Monstro Alienígena,Monstro extraterrestre,Monstru extraterestru,Инопланетный монстр,Mimozemská príšera,Rymdmonster,สัตว์ประหลาดต่างดาว,Uzaylı Yaratık,Інопланетний монстр,Quái vật ngoài hành tinh,异形怪兽,外星人,外星怪物
61566,روبوت,Robot,Robot,Robot,Roboter,Ρομπότ,Robot,Robot,Robot,Robot,Robot,Robotti,Robot,Robot,רובוט,रोबोट,Robot,Robot,Robot,Robot,ロボット,로보트,Robot,Robot,Robot,Robot,Robô,Robô,Robot,Робот,Robot,Robot,หุ่นยนต์,Robot,Робот,Người máy,机器人,機械人,機器人
61567,شبح,Fantasma,Duch,Spøgelse,Gespenst,Φάντασμα,Ghost,Ghost,Ghost,Fantasma,Fantasma,Haamu,Fantôme,Fantôme,רוח רפאים,भूत,Duh,Szellem,Hantu,Fantasma,お化け,유령,Hantu,Spook,Spøkelse,Duch,Fantasma,Fantasma,Fantomă,Призрак,Duch,Spöke,ผี,Hayalet,Привид,Ma,幽灵,鬼,鬼魂
61568,كومة من البراز,Pila de caca,Hromádka,Bunke afføring,Hundehaufen,Σωρός από κόπρανα,Pile Of Poop,Pile Of Poop,Pile Of Poop,Caca,Popó,Kakkakasa,Étron,Étron,ערימת קקי,मल की ढेरी,Hrpica izmeta,Kakikupac,Tumpukan Kotoran,Escrementi,うんち,똥덩어리,Timbunan Najis,Drol,Bæsj,Kupa,Monte de Fezes,Monte de cocó,Grămadă de caca,Фекалии,Hovienko,Bajshög,กองอุจจาระ,Kaka Yığını,Купка каки,Đống phân,便便,大便,便便
61569,جمجمة,Calavera,Lebka,Kranium,Totenkopf,Κρανίο,Skull,Skull,Skull,Calavera,Calavera,Pääkallo,Tête de mort,Crâne,גולגולת,खोपड़ी,Lubanja,Koponya,Tengkorak,Teschio,どくろ,해골,Tengkorak,Schedel,Dødninghode,Czaszka,Caveira,Caveira,Craniu,Череп,Lebka,Dödskalle,กะโหลกศีรษะ,Kafatası,Череп,Đầu lâu,头骨,骷髏頭,骷髏頭
59796,آثار مخالب,Petjada d’animal,Otisk tlapy,Poteaftryk,Pfotenabdruck,Πατημασιά ζώου,Pawprint,Paw Print,Pawprint,Huella de animal,Huella de animal,Tassunjälki,Motif de patte,Empreinte animale,טביעת רגל של בעל חיים,पॉप्रिंट,Otisak šape,Mancsnyom,Jejak Kaki Hewan,Impronta,動物の足跡,동물 발자국,Tapak Kaki Binatang,Pootafdruk,Poteavtrykk,Odcisk łapy,Pegada de Animal,Pegada de animal,Amprentă lăbuță,Отпечаток лапы,Odtlačok laby,Tassavtryck,รอยอุ้งเท้า,Pati İzi,Слід лапи,Dấu móng vuốt,爪印,足印,足印
